query,passage
"Je,Joachim Kimario alianza muziki mwaka upi?","Mnamo mwaka 1996 Master Jay aliamua kujishulisha kabisa na maswala ya Utengezaji wa muziki kwa kuamua kuanzisha rasmi studio yake aliyoipa jina lake la ""Mj Production"" japokuwa babake alikuwa haja ridhia hilo. Baadae akatoa wimbo wa kundi la Kwanza Unit na baada ya muda kidogo tena akatoa nyimbo ya kundi la 4 Crews Flavour, baada ya hapo ndipo mzee wake alipoanza kuoynesha moyo na kuanza kukubali Anachofanya na hii ilinipa moyo wa kufanya kazi kwa bidii zaidi."
Kisiwa cha Msumbiji kiligunduliwa mwaka gani?,Habari za kwanza za Kisiwa cha Msubiji zimetokana na Wareno. Alipofika Vasco da Gama mwaka mwaka 1498 BK kisiwa kilikuwa mji wa Waswahili na Waarabu na kituo muhimu cha biashara ya kimataifa katika Bahari Hindi.
Tamthilia ya  Traveler ina wahusika wakuu wangapi?,"Kwa ujumla Traveler inaangaza hasa juhudi za Jay Burchell (Matthew Bomer) na Tyler Fog (Logan Marshall-Green), wahitimu wenye jukumu la kuhakikisha wanasafisha majina yao katika jamii baada ya kupakaziwa tuhuma za kulipua makumbusho na rafiki yao Will Traveler (Aaron Stanford)."
Chama cha  Orange Democratic Movement Party of Kenya kilianzishwa na nani?,"ODM ilianzishwa na chama cha Uhuru Kenyatta, KANU na chama cha Raila Odinga, LDP, lakini chama cha KANU kiliweza kujiondoa, na waliobaki waligawanyika katika makundi haya mawili yanayoongozwa na Raila Odinga (ODM; ndio wengi zaidi) na Kalonzo Musyoka (ODM-Kenya). Sababu ya farakano ilikuwa suala la nani atakuwa mgombea wa urais upande wa ODM."
"Je,jina la utani wa Monique Séka ni ipi?","Monique Séka (amezaliwa 22 Novemba 1965; jina la utani la malkia wa muziki wa Afro-zouk) ni mwimbaji kutoka Ivory Coast. Kwa muziki mchanganyiko ambao anautengeneza, muziki wa Afro-zouk wa Monique Seka ni maarufu sana huko nchini kwake - Ivory Coast, Afrika, Caribbean na Bahari ya Hindi.[1][2]"
"Je,Edgar Leonard Luhende alisomea katika chuo kikuu gani?",Katika sanaa Ngelela alionekana kuwa na kipaji kikubwa jambo ambalo lilichangia kupata ruhusa kwa wazazi wake kwenda kusomea sanaa katika Taasisi ya Sanaa na Utamaduni Bagamoyo ambapo alichukuwa stashahada yake ya sanaa. Baadaye Ngelela alijiunga na Chuo kikuu cha Dar es Salaam ambapo alichukua Shahada yake ya kwanza na shahada ya uzamili ya sanaa za maonesho na sanaa za ufundi.
"Je, mwanamitindo Nancy Sumari ni ndugu wa Nakaaya Abraham Sumari ?","Nancy ni mtoto wa tatu katika familia ya Mzee Abraham Simango Sumari, akiwa na dada yake Glory alyekuwa anampa hamasa na ushauri zaidi juu ya masuala ya urembo. Ndugu zake wengine katika ukoo wao ni Devis, Patra, Tumo na Nakaaya Sumari."
Gazeti la raia la BrooWaha lilianzishwa mwaka gani?,Tovuti hii ilionyeshwa katika gazeti la Los Angeles Times katika mwezi wa Desemba 2006.
Keyshia Miesha Cole ana miaka mingapi?,"Keyshia Miesha Cole (amezaliwa tar. 15 Oktoba 1981)[1] ni msanii wa rekodi za muziki kutoka nchini Marekani. Ametoa albamu yake ya kwanza yenye platinum The Way It Is mnamo Juni 2005, na albamu yake aliyoitoa akiwa chuoni kwa mwaka wa pili iliyoitwa Just Like You hapo mwezi wa Septemba 2007. Albamu yake ya tatu, A Different Me ilitolewa mnamo tar. 16 Desemba 2008, nayo pia imetunukiwa platinum. Pia anajulikana kwa mfululizo wa makala ya tv Keyshia Cole: The Way It Is ambao inarushwa na TV ya BET kuanzia 2006 hadi 2008, kipindi ambacho kinaonesha uhusiano wa Keyshia kikazi na wazazi wake na ndugu pia."
Jina Zimbabwe linatokana na nini?,"Jina Zimbabwe linatoka katika jina ""dzimba dzamabwe"" kumaanisha ""nyumba ya mawe"" kwa lugha ya Kishona. Nyumba hiyo ya mawe , ambayo imehifadhiwa kama eneo la kihistoria, ilikuwa Milki ya Mwenemtaba ambaye ufalme wake uliongoza eneo hilo miaka ya kale."
Namba ya postikodi ya Morogoro ni ipi?,"Mkoa wa Morogoro ni kati ya mikoa 31 ya Tanzania wenye Postikodi namba 67000. Umepakana na mikoa ya Tanga, Pwani, Lindi, Ruvuma, Iringa, Dodoma na Arusha."
"Je, Mongolia ina takriban ya idadi ya watu wangapi?",Ni nchi kubwa ya 19 duniani lakini kuna wakazi wachache tuː jumla milioni 2.6 hivyo msongamano wa watu ni mdogo sana.
Afrika Mashariki ina nchi ngapi?,Kadiri ya Umoja wa Mataifa Afrika ya Mashariki ina nchi 18 zifuatazo:
Gegereka  wana rangi ngapi?,"wana antena mbili miili yao imegawanyika katika sehemu kuu tatu yaani kichwa, thorasiki na kiwiliwili wana mabawa manne wana rangi zinazoweza kuendana na majani kwaajili ya kujificha miili yao ni midogo sana"
"Je,mwanamziki Nuru the Light alianza kuimba mwaka upi?","Walimwengu ni jina la wimbo uliotoka 2007 kutoka kwa msanii wa muziki wa kizazi kipya kutoka nchini Tanzania, Nuru the Light. Katika wimbo, Nuru ameangalia sana tabia za kibinadamu ambazo rahisi kutokea. Namna watu wanavyokupenda ukiwa na kitu halafu kukubadilikia ukiwa huna kitu. Hali ambayo inatokea kila siku katika jamii yetu. Hii ni kazi ya SoulHouse Studio, huku video ikiwa kazi ya Adam Juma kupitia Visual Lab."
"Je,Chris Okotie alisomea katika chuo kikuu gani?","Okotie alizaliwa na Francis Idje na Cecilia Okotie, katika eneo la Ethiope-West, Delta State (ilichokuwa ikiitwa Bendel State). Alihudhuria shule za upili ya Edo College, Benin City. Mwaka 1984, alifuzu na shahada ya sheria kutoka Chuo Kikuu cha Nigeria katika Nsukka. Okotie aliachana na kazi ya sheria baada ya chuo kikuu na akaanzia kazi ya muziki iliyofana sana. Pamoja na Dizzy K Falola, Jide Obi, na Felix Uhuru aliipa moto kazi ya muziki iliyokuwa imeanza kujitokeza[1]"
"Je,mji mkuu wa Zimbabwe ni upi?","Jamhuri ya Zimbabwe Republic of Zimbabwe, Africa (Bendera ya Zimbabwe)(Nembo ya Zimbabwe)Kaulimbiu ya Taifa Unity, Freedom, Work (Kiingereza: Umoja, Uhuru, Kazi) "" | Wimbo wa TaifaLugha rasmiKiingereza na 15 nyingineMji MkuuHarareMji mkubwaHarareRaisEmmerson MnangagwaEneo - Jumla -Maji -Eneo kadiriwakm² 390,757 1% ya 60 dunianiUmma - Kadiriwa - Sensa, - Msongamano wa watu13,061,239 ya 66 duniani (2012) ; 32/km² ; ya dunianiChumo cha uchumi - Jumla - kwa kipimo cha umma$24.99 billion (Orotha ya nchi GDP (kidogo)) $2,100 (Orodha ya nchi kulingana na GDP kwa umma)Uhuru - Kadirifu - Barabara(kama Rhodesia) 11 Novemba 1965 (kama Zimbabwe) 18 Aprili 1980FedhaDolar ya Marekani|Saa za EneoUTC +2Intaneti TLD.zwkodi za simu263"
Wilaya ya Ilala ina kata ngapi?,Buguruni | Chanika | Gerezani | Gongo la Mboto | Ilala | Jangwani | Kariakoo | Kimanga | Kinyerezi | Kipawa | Kisutu | Kitunda | Kivukoni | Kivule | Kiwalani | Majohe | Mchafukoge | Mchikichini | Msongola | Pugu | Segerea | Tabata | Ukonga | Upanga Magharibi | Upanga Mashariki | Vingunguti
Ayatollah Ruhollah Musawi Khomeini aliaga dunia mwaka upi?,Ayatollah Ruhollah Musawi Khomeini (Kifarsi: آیت الله روح الله موسوی خمینی‎) (* 24 Septemba 1902 mjini Khomein; 3 Juni 1989 Tehran) alikuwa kiongozi wa mapinduzi ya Uajemi ya 1979 na baadaye kiongozi wa kiroho wa Jamhuri ya Kiislamu ya Uajemi hadi kifo chake.
Emil von Zelewski aliuawa katika vita gani?,Emil von Zelewski (13 Machi 1854 - 1891) alikuwa afisa wa jeshi la Ujerumani. Alipokuwa kamanda ya kwanza wa jeshi la ulinzi la kikoloni katika Afrika ya Mashariki ya Kijerumani aliongoza jeshi hilo katika vita dhidi ya Wahehe alipouawa.
Je nyangumi huishi miaka ngapi?,"Nyangumi kwa wastani wanaishi miaka 40 mpaka 90, kulingana na aina zao na mara chache hufanikiwa kiushi zaidi ya karne moja. Hivi karibuni kipande cha kamba kilichokuwa kinatumiwa na wavuvi wa nyangumi wa karne ya 19, kilipatikana kwa nyangumi huko Alaska, na kuonesha kuwa nyangumi yule alikuwa na umri kati ya miaka 115 na 130. kwa kutumia mbinu ya kupima umri kwa kuangalia kiwango cha aspatiki asidi kwenye macho ya nyangumi, pamoja na kipande cha chusa, vilionesha umri wa miaka 211 kwa nyangumi mmoja, na kuwafanya nyangumi pia kuwa wanyama wanaoishi kwa muda mrefu zaidi. . Mkia wa nyangumi unaweza kuwa pia kama alama ya kuwatambua, kama ilivyo kwa nyangumi wenye nundu mgongoni."
Nkem Owoh alianza uigizaji mwaka gani?,"Owoh alikuwa kati ya waigizaji wakuu katika filamu ya 2003 ya Osuofia i London . Anajulikana pia kwa kuuimba wimbo wa I Go Chop Your Dollar, unaohusu ufisadi wa ada ya mapema. Wimbo huu ulitumika katika filamu ya The Master ambapo Owoh hucheza kama mtapeli.[2] Tume ya Uhalifu wa Fedha na Uchumi na Tume ya Utangazaji ya Nigeria ilipiga marufuku wimbo huo[3]. Mwaka 2007 alikamatwa na polisi mjini Amsterdam, Uholanzi(kitongoji Bijlmermeer katika eneo la Amsterdam Zuidoost) kama matokeo ya uchunguzi wa miezi 7 ulioitwa ""Operation Apollo"".[2] Owoh alikuwa akitumbuiza wakati polisi walivamia pahali pale na kuwatia mbaroni watu 111 kwa tuhuma za udanganyifu makosa ya uhamiaji. Owoh baadaye aliachiliwa huru.[3][4] Mwezi Novemba 2009, Owoh alitekwa nyara eneo la mashariki mwa Nigera. Wateka nyara walitaka naira milioni 15 kama makombozi. Aliachiliwa huru baada ya familia yake kutoa naira milioni 1.4 kama makombozi."
Osama Bin Laden alizaliwa mwaka upi?,"Osama bin Mohammed bin Awad bin Laden (kwa Kiarabu: أسامة بن محمد بن عوض بن لادن‎ ʾusāmah bin muḥammad bin ʿawaḍ bin lādin); * 10 Machi 1957 – + 2 Mei 2011, alikuwa mwanzilishi na kiongozi wa kundi la kigaidi la Al Qaida."
Lambo la magenge matatu nchini China lina ukubwa gani?,"Lambo la Magenge Matatu ni lambo kubwa nchini China katika eneo la magenge matatu ya mto Changjiang (Yangtse). Ni kati ya malambo makubwa kabisa duniani ikizalisha kiasi kikubwa cha nguvu ya umememaji kati ya malambo yote (22,250 megawati)."
"Je,mwanamziki Shaggy alizaliwa mwaka upi?","Orville Richard Burrell (alizaliwa 22 Oktoba 1968, Kingston, Jamaika), anafahamika zaidi kwa jina lake la kisanii Shaggy, ni mshindi wa Grammy Award kama mwimbaji wa reggae ya Jamaika-Amerika ambapo asili ya jina lake la kisanii ni kutoka rafiki wa Scooby-Doo [[|[1][2]]] -jina alilopewa na marafiki zake wakati wake miaka ya utotoni kwa sababu jina lake lilikuwa sawa na tabia za Scooby Doo . Yeye ni mashuhuri hasa kwa sauti yake ya iliyogwara . Akizungumza katika kipindi cha asubuhi hii 27 Agosti 2008, Burrell alisema jina Shaggy liliashiria mtindo wa nywele yake."
Wimbo wa kwanza wa  Keyshia Miesha Cole unaitwaje?,"Single ya kwanza ya Keyshia ni ""Never"", ameshirikiana na Eve, ilitolewa mnamo tar. 23 Machi 2004 ili kusukuma kibwagizo cha filamu ya Barbershop 2: Back in Business. Single hii ilianguka kabisa kwenye chati, na Keyshia aliendelea kurekodi albamu yake ya kwanza kwa mwaka mzima wa 2004 hadi mwanzoni mwa mwaka wa 2005. ""Never"" hatimaye ikawa nyimbo ya mwisho kwenye orodha ya nyimbo za The Way It Is."
Ugonjwa wa Tutuko uligunduliwa mwaka gani?,"Tutuko zosta yana historia ndefu iliyorekodiwa, ingawa rekodi za zimeshindwa kutofautisha kati ya malengelenge yanayosababishwa na VZV na yale yanayosababishwa na ndui, [16] hali ya erogoti na erisipela. Ilikuwa ni mwishoni mwa karne ya kumi na nane ndipo William Heberden alibaini njia ya kutofautisha kati ya tutuko zosta na ndui, [64] na tutuko zosta haikuweza kutofautishwa na erisipela hadi mwisho wa karne ya kumi na tisa. Katika mwaka wa 1831, Richard Bright alitoa nadharia tete kuwa ugonjwa huo ulitoka kwenye ganglioni ya shina la uti wa mgongo, na jambo hili lilithibitishwa katika makala ya 1861 yaliyoandikwa na Felix von Bärunsprung. [65]"
Halima James Mdee alijiunga na siasa mwaka gani?,"Alipata ajira katika Wizara ya Kazi na Maendeleo ya Vijana mwaka 2004 akiwa Ofisa Maendeleo kama mwanasheria mpaka mwaka 2005 alipoamua kuacha kazi na kuingia katika kinyang’anyiro cha uchaguzi mkuu wa mwaka 2005, ambako alishiriki kuwapigia kampeni wagombea mbalimbali wa CHADEMA kabla ya kuchaguliwa kuwa mbunge wa viti maalumu."
